content;score
I have set daily reminders. It doesn't show the reminders after few days. Due to which I missed many of activities. For example. I have set bath reminder at 8.30am but it has showed only for 2-3 days. From 4th day it went missing.;0
Pretty basic for the price. Lacks customisation. Desktop only gives month view - I'd prefer more options week, month, year, day. I had a query - links on the site don't work - TWO day turnaround! FOUR for standard account. Great productivity standard there! Very disappointed.;0
the app keeps crashing whenever I click something. was going to sign in with google but it just wont work and turns out nothing's working it just keeps crashing everytime I try. I hope it gets fixed. I'm really looking forward to using this app.;0
"Is it necessary to sign up account? While making a new account it's shows error ""oops try again later""";0
Updates made that are not fully tested. They need to add option to revert back to the olddd verison. that was simple to use, but most importantly it worked.;0
EVERY service I attempted to connect (Gmail, Gtasks, google calendar,) timed out during setup (oops error). Been 2 days and still no reply from support. Device is Samsung S9 with Android 10.;0
One star because the premium on Android only has 1 year option while premium on web has a monthly option. Edit: no it doesnt, when you go settings-> go premium the only option listed is Annual option;0
Had charged twice but still not getting premium version access,;0
This app is malware/scam. I don't even have the app and it's charged me 38 dollars for a yearly subscription, do not buy, I'm having to now look into suing the people behind this just based on the principle of not letting them get away with this. I hope the 38 dollars was worth hundreds of dollars in court fees.;0
Most useless app ever used! Very difficult to save anything or find anything! Put some tasks didn't get any reminders so didn't do it! Erasing this nonsense Can't even save this review;0
Have to pay for recurrent daily task.. which is the main purpose of that app.;0
"I had uninstalled and reinstalled it but still it doesn't work. When i open app to sign in by google it doesn't respond. It tells the msg ""app stop responding""";0
List sharing sharing is not working. UX is straight from iOS app, terrible;0
Is was disgusting.Routines would revert to previous if you make a change,name also changes randomly.this was Such mess i had to uninstall it.;0
No Grocery widget, Ridiculous... The task widget is confusing, I just want to be able to add stuff simply on the fly.;0
Not happy, app just asked me to 'sign in' and now has deleted all my previous reminders. I had reminders set up for throughout the rest of this year and now I don't know what they were. You've put me off using your app now, what's the point if it's not reliable!!!;0
Very slow app it took me 10 min just to start the app....;0
Automatically shows the reminder Snackbar when I open other apps without me setting it up, what kind of violation is this??? Stop bugging your users unsolicitedly. Uninstalled;0
This app is a prime example of building a mountain out of a mold hill. The developer does not knot how to make it simple & friendly. The app is very chaotic. Completed tasks do not go away after pressed completed. If deleted from today's list, tasks that have a repeat schedule also disappeared forever. The only reminder this app does right is to remind me how frustrating it is to use. I have uninstalled it on all my phones.;0
"App is getting worse instead of better. Latest version replaces homescreen widget that displayed five upcoming tasks with one that only displays three in the same space. All it gains in return is a useless ""Calendar"" button. WIdget colors that followed your main app theme replaced by ugly monochrome, too. I suspect they've put someone new in charge who decided they needed to ""shake things up"" with bad new ideas. Only bright spot is their tech support has been good.";0
"Under subtitle *security* ""However, please note that we cannot guarantee that the information will not be exposed as a result of unauthorized penetration to our servers"" Sorry no thanks.i just downloaded but after reading privacy policy i prefer going thru •Google official •one & app like calendar required lot of access ,&i personally don't wanna bleach my data like this..btw the tq for placing the info it to let us know :)";0
I have been using it since 2018 and am currently a paying subscriber but I wouldn't recommend it to others. Notifications do not pop up on my note 10 plus. WhatsApp notifications also did not appear for 2 straight days. I won't be renewing unless they get their act together;0
Interface is so rigid. To perform some basic tasks. You have to put lot of efforts. I have tried using this app to plan my day. Below are some issues: 1. To create a task, time interface requires lot of clicks. 2. Incase, if you have chosen the wrong date, you can not go back to select date page, you have to delete the task and create it again. 3. On the agenda page, it will show entries for other dates, but you cannot move task to other date directly. I want my money back.;0
"Something is wrong with the last version. Since I updated, I can't login. I use the right email & pass, and it keeps loading ""getting things ready"". I tried to delete and install again. Same problem. All of my stuff is there, and it's very annoying. I really like Any do and use it for years! I hope that you'll fix it soon cause i really don't want to leave to another app";0
Stop Adding Groceries Items Like an Ad;0
Absolutely worthless. This app runs a prohibitively clunky interface that effectively voids the promise of ease-of-life automation. Google Calendar will provide all other services promised by Any do for free with no annual subscription rate. Don't sign up for the free trial. It's not worth getting pinged for forty bucks when you decide you don't like it and forget to cancel it in time. Save your money!;0
Being an to do list app this app should be super simple, instead they made it complicated with UX. I can't understand single thing or can't understand single icon that is being used in the app. Bro's you are not making pubg game. When you are making something useful to users better serve it properly.;0
such a bad app,i try to click the log in button but it doesn't work,i exit from the app and i try again because i thought my phone was error but it still doesn't work..i uninstall the app and i reinstall again..the same things happened 😩;0
"After using for years, we'll uninstall it. Lately it has started duplicating me in our shared list with my wife. Yesterday I've decided to remove duplicate all but one duplicate me. I'm sure I've left 1 me in the list but nope, I've been removed completely from the list. Then we've tried adding ME to the list again but tried for 2 days and failed. Invitation appears put doesn't accept the ""ACCEPT"" button, only decline works...";0
BEWARE the trial period is a scam I've been using the free version for a while and decided to try the premium for 7 days per the trial ad. After 5 days I realized it didn't quite organize my information how I best work so I wrote to cancel. They informed me that I must have accidentally signed up for a non trial and by their strict Terms cannot refund me. So I wrote back nicely that my intention was to try it per the Ad, but they said it's not possible. Really?;0
I wanted to try the app but it never opens. I can't even sign up or sign in, tapping anything doesn't work. Tried uninstalling and reinstalling, still the same. With this i stopped trying the app in a week, and opened it again today, updated the app, and still nothing can be clicked from the homepage. Idk if it's just my phone but my other apps are perfectly working and i never had this type of issue before;0
This App is useless , it works as a notepad with your tasks in it , it does not notify you of tasks you suppose to do. When the time reaches it's silent doesn't pop up even though settings have permitted it to pop up and alert , even a simple alarm clock notified me of what to do .This app Doesn't work .;0
I was a customer of Any.Do for a while and on March 2020 i clearly asked them NOT to renew my subscription as i found a different company to provide me task manger services - Todoist. More than that - i even consult with Any.Do technical support team how to transfer my database to Todoist and over the phone, i ALSO remind them to cancel it. I received the cancellation notice and I DID NOT ask them to renew/continue any of Any.Do services. More than that - i also have the Invoice from the company i moved my services, Todoist, for the same period of time that Any.Do charged me for. After i tried to contact Any.Do they refused to refund me. Therefore, i let you and everybody to know that I WILL NOT USE ANY OF ANY.DO services anymore and recommend everyone that read this post DO NOT USE ANY.DO SERVICES or you taking a big risk that something like that will happen to you as well.;0
Lots of issues, bugs, etc. I like the design and it could have been good otherwise but I'm looking for something else now.;0
I sent a cancelation request 3 day into the free trial and still you hit me with year. Very disappointed. I won't ever open this app again. besides it is not even a second rate app;0
Doesn't work even after turning off power optimization. One of the most lame excuse ever given by app development. Bulls*it app, go for Google ones, try this and regret.;0
I downloaded it and login with Google I never did anything just logged in with Google. It has asking me many time for auto debit for subscription so I uninstalled it. But still 5 min before Rs 909 debited from my account. This is the muging of money. I want refund my money in my account. Kindly;0
My CC was charged while I have unsubscribed the free trial mode and cancelled the subscribtion, how could this happen, the app is freezed, could not be used. Please refund my money. Thank you;0
There is some issue in payment.;0
App stopped functioning after my trial ended and I paid for the premium features. Now the app crashes and I cannot add new tasks. Support has been useless. Do not pay for this!!;0
Monthly fee for Dark mode, really? I could accept a one time payment for such a feature but not monthly.;0
Update: After getting a response from the developer I would change my rating to 0 stars if possible. These guys hide behind confusing and opaque terms and refuse to budge at all. I'm so annoyed that my money has been lost to them! Really terrible customer experience. Original: Be very careful when signing up for a free trial of this app. If you happen to go over they automatically charge you for a full years subscription and refuse to refund. Terrible customer experience and the app is just OK.;0
It doesn't give me the option to not sync with whatever else. Didn't even check it;0
Thanks to the developer for your quick response, however, this calendar is useless for our group without those features...we decided to go with Business Calendar Pro. Previous comments: Wasn't able to see month or year view;0
Your app sucks now!!!!! Used to be good but now doesn't update until I physically open it up and then close it then scroll and then it finally shows what I want to put on the list!!!!!! And I FRIGGEN paid for this garbage!!!!!!!;0
Used it for a fair amount of time without any problems. Suddenly then asked me to create an account or log using Google or FB. I used my Google one only to discover everything was gone!;0
Really disappointed to find recurring tasks functionality is only available with the paid version. Would not recommend. Also it doesn't sort tasks by date and time properly.;0
Loaded the trial then emailed about cancelation but email bounced back. Ended up paying $36 for an app I didn't want. No way to contact for refund. Be careful if you buy this. If you try the trial you're stuck paying for it!;0
I am not able to log in or do anything once i open the app. I would like to sign in with google but when i press on the button the whole app just closed😯😯 How could i continue?? I even tried download it again but still fail to run this app.;0
Slow. Not user friendly. If you type fast words repeat.;0
This application fails a lot and moreover it is complicated,weird and not intuitive. I don't renew my subscription.;0
New update issue. In widget, when I tap to add new task voice command opens along with the keyboard. Very annoying.;0
Im so disappointed with this app. I scheduled an Event and turned the reminder feature on. But it never alarmed me on the time I set. Uninstalling now.;0
I downloaded this app, but not able to respond, using vivo mob. Any solution please.;0
Suddenly the widget I have been using for years is gone. Every time, I update, I am worried of losing the widget or data;0
I instantly uninstalled because it is a ridiculously expensive subscription.;0
I can't sign in. It was working fine before but now i can't even sign in.;0
The fact that you have to pay so much to use something so simple isn't worth it to me. There are free apps of similar functionality.;0
Garbage. Every day only unique tasks. Not even a point to try any other features since there is just a create one time task for today page.;0
I used to be able to see my deliveries that were coming. Now it doesn't show that. This is not a useful app anymore;0
Getting comfronted with the buy option each time I use it. Frustrating.;0
Way over priced for what it does. Not worth it!;0
I reported about this app due to incorrect billing but noone answer me. Please, return my money back because app took my money without my permission from my credit card.;0
Was working ok until today...Now keeps crashing the moment you try to open d app...;0
complicated , dislike the pro version. microft to -do list is better;0
Forces you to sign up and use credentials, uninstalled.;0
I installed the app and I can't even sign in. What is wrong!?;0
Not easy to use also not effective;0
Worst app I have ever used, it doesn't do anything.;0
Doesn't give any notification and nothing I missed a registration!!;0
Wonderful and really helpful app for to be a topper;0
Just basic app without any exciting features. Why I pay for this useless app. Please don't download it's a cheat, waste of time and energy.;0
I do not have much to say in regards to the app itself. It seems to function fine, but it was not the calendar app that I needed. The reason I am giving it 1 star is because I canceled my subscription and account within the seven day free trial and still got charged the yearly rate. The problem has been reported to the company. I will keep this review updated with any action from Any.Do. UPDATE: The gist of the problem is this. Any.do makes it very difficult to find out how to cancel the sub.;0
I have the same recurring tasks to do every day. I need a to-do-list reminder to buzz me when it's time. The problem with this app, is that those reminder times somehow start drifting every day, giving me different times the next day! That is an annoying fail! Screw it, I'm going elsewhere. if I find a better app, I'll let you guys know. UPDATE : Suggestion did not work, and I found an app, that does not drift. I have moved on.;0
Keeps force closing, used to be good.;0
It won't let me in, it's freezing. And I just downloaded it right now. I couldn't even get to step one;0
It's not even logging in post the intial screen and I downloaded it just now. LAME!!!;0
I just needed a single program where I can can you record my voice notes;0
Not working and the list disappears after creation;0
This app used to be great when paired with Alexa. Every once in awhile the sync would break but disabling the app and relinking the account would fix the issue. This has not been the case for the past several months. Any.do it is no longer syncing with Alexa and based on the reviews of the Alexa app it is affecting a lot of people, has been ongoing for weeks, and there doesn't appear to be a fix coming. Going to give anylist a try to see if it works with Alexa.;0
All I want is a calendar. This app spams you so much. 1 star;0
The app seems ok and I get the appeal of asking users to pay for a subscription, but please don't go as far as asking for a paid subscription for changing the theme. Us, mobile users asked for dark themes for everything for a long time and they should be a normal thing, not a paid privilege. I will update my rating once that nonsense is taken care of. I'm not going to pay for a dark theme. PS: you can keep the other colours chargeable, but light and dark should always be free options.;0
Time setting is so dumb. Fix it;0
This is an overengineered list keeping app that I hate. I kept it for years in spite of that because I was in the ecosystem, but today it locked me out of my grocery list so good riddance. No i don't need it to take thirty seconds to boot up my grocery list so that your algorithm can tell me how to most productively plan my day by sorting my grocery list in order of the order I entered each item. I do not need an any.do minute.;0
It stop working and I try to reinstall it but same problem;0
Automatically shows the reminder Snackbar when I open other apps without me setting it up, what kind of violation is this??? Stop bugging your users unsolicitedly. Uninstalled;0
Way over priced for what it does. Not worth it!;0
I love this app, but I do have one major gripe - I want an option to buy premium once (even at a higher price) and not as a monthly or yearly subscription. Edit - very unhappy with developer response to pricing. I want to buy premium for this great product they made, but it's NOT a service. This isn't Netflix. You're going to turn potential buyers away with this pricing model;0
Atleast make a few features available .. if the customer donot like the app at initial stage than how would he/she ever think about going premium;0
Requires a sign up for features I have no interest in using, but can't opt out of.;0
Did not sign up. App not even on my phone. This payment deduction will be reported and I request you refund my money immediately.;0
Autofill on Android 10 does not work;0
Had charged twice but still not getting premium version access,;0
Have have to make an account in order to use this app. There is no way around it.;0
Creating an account is supposed to ALLOW you, not FORCE you. Uninstalled without trying it;0
Stop Adding Groceries Items Like an Ad;0
Bakwas app;0
I don't get task notifications anymore!!! This app has become useless. I have uninstalled and reinstalled, turned on / allowed notifications in the settings yet nothing.;0
Good improvements but still don't have nag or presisitent reminders. I missing a lot reminders accidentally;0
Useless, ring bells only one time, and not a good reminder;0
Having to pay to set a recurring task is ridiculous and essentially makes the app useless to anyone who doesn't want to pay so this essentially is not a free app.;0
There is some issue in payment.;0
Too complicated. I need a plan to plan tasks.;0
Everything it expects you to pay;0
This app is useless unless you make the monthly payment, in that case does exist other app free and only with the essential;0
Too many features locked behind premium.;0
Worst app;0
I have the same recurring tasks to do every day. I need a to-do-list reminder to buzz me when it's time. The problem with this app, is that those reminder times somehow start drifting every day, giving me different times the next day! That is an annoying fail! Screw it, I'm going elsewhere. if I find a better app, I'll let you guys know. UPDATE : Suggestion did not work, and I found an app, that does not drift. I have moved on.;0
OMG the UI is awful, seriously you have popup for premium every 2 seconds, there's no intuitive way see a normal calendar, you have to create an account even if you don't want to, the app is beautiful but show screen where it's impossible to understand what you have to do. It's a calendar, show a f... calendar.;0
Not good;0
Trash. Yes, it has some nice nifty features but it lacks in complete necessities to actually plan your day. You can make a task, perfectly include subtasks and then add a nice color to the task. But no yellow, because that's already the fixed color of the 'priority label'. Reminders are great, except you can only have one. If I want to have a reminder on Wednesday 10AM and a reminder on Friday 6PM, I'd need a different app. Because this app only allows you to set 1 reminder. Frustrating. 0/10;0
"Is it necessary to sign up account? While making a new account it's shows error ""oops try again later""";0
I've been using the app for a while and since last week it has been acting weird. I don't receive reminders anymore and it's completely a waste of time to set reminders! Not very reliable right now;0
While it's nice program, I can justify paying for it in perpetuity. That's just insane.;0
Have to pay for recurrent daily task.. which is the main purpose of that app.;0
List sharing sharing is not working. UX is straight from iOS app, terrible;0
Worst app I have ever used, it doesn't do anything.;0
Raben nat s7;0
First thing that happened upon opening is asking for payment. Good job.;0
I do not have much to say in regards to the app itself. It seems to function fine, but it was not the calendar app that I needed. The reason I am giving it 1 star is because I canceled my subscription and account within the seven day free trial and still got charged the yearly rate. The problem has been reported to the company. I will keep this review updated with any action from Any.Do. UPDATE: The gist of the problem is this. Any.do makes it very difficult to find out how to cancel the sub.;0
"Unable to register with an email. Clicking""continue with email"" will just take you to a login page. Complete waste of time. I searched them first three pages of Google for a solution and found nothing. Found no solution on their help section. I don't want to register with Facebook or Google. If you include a feature, make sure it actually works.";0
My backup is gone, very important data deleted;0
"Any.Forget... Had an instance of daily repeating event, that I have marked as complete today and somehow it did skip the next day and only proceeded to the day after. Kind of ""daily event with some days skipped"". So useless to me as can't be trusted for notifying about daily routine tasks. P.S. don't tell me I don't know how to setup a recurring event!!";0
One star because the premium on Android only has 1 year option while premium on web has a monthly option. Edit: no it doesnt, when you go settings-> go premium the only option listed is Annual option;0
It works okay, But I did not consent to subscribing at $28/year subscription. I thought I purchased it until I saw that it was renewed for an additional $28. It's definitely not worth that price. Very angry and ripped off. I got charged twice for something that I thought I bought outright. I will never buy anything from them. Ever;0
Very slow app it took me 10 min just to start the app....;0
Updates made that are not fully tested. They need to add option to revert back to the olddd verison. that was simple to use, but most importantly it worked.;0
Anydo;0
App loding ke baad peese maang raha hai, pahle bataaye , data kyo kharaab karwaya;0
Ruined the app by trying to get too fancy. My wife has also become frustrated with it. She has had it since it started and now struggles with it. You should be able to add a task then go straight to set time/day. But instead, you have all the other short cuts there that really aren't.;0
I could not have any expirions about this app;0
Terrible App. Don't waste your money.;0
I couldn't use it;0
Looks like a pretty good app but it doesn't sync with Alexa. Which is the main reason I installed it. Shouldn't be this difficult.;0
Forces you to sign up and use credentials, uninstalled.;0
Hf;0
Most useless app ever used! Very difficult to save anything or find anything! Put some tasks didn't get any reminders so didn't do it! Erasing this nonsense Can't even save this review;0
Its a great app but I dont receive any events notification although I have allowed the notification to come through from this app. I really don't understand why because I have set everything correctly.;0
Virender.kumar;0
Useless;0
Price is high;0
"Under subtitle *security* ""However, please note that we cannot guarantee that the information will not be exposed as a result of unauthorized penetration to our servers"" Sorry no thanks.i just downloaded but after reading privacy policy i prefer going thru •Google official •one & app like calendar required lot of access ,&i personally don't wanna bleach my data like this..btw the tq for placing the info it to let us know :)";0
Bad app;0
Tried doing all the settings as per ur guidence.. but app is not supporting popups in lock screen.. everytime I have to unlock my screen to check the event..;0
This is an overengineered list keeping app that I hate. I kept it for years in spite of that because I was in the ecosystem, but today it locked me out of my grocery list so good riddance. No i don't need it to take thirty seconds to boot up my grocery list so that your algorithm can tell me how to most productively plan my day by sorting my grocery list in order of the order I entered each item. I do not need an any.do minute.;0
KimHong;0
I hate this app 😡😤😤 as soon as I downloaded it my phone was hanging 😠😠😠😡😠😡 😠;0
Monthly fee for Dark mode, really? I could accept a one time payment for such a feature but not monthly.;0
No Grocery widget, Ridiculous... The task widget is confusing, I just want to be able to add stuff simply on the fly.;0
This app has Malware.;0
Not happy, app just asked me to 'sign in' and now has deleted all my previous reminders. I had reminders set up for throughout the rest of this year and now I don't know what they were. You've put me off using your app now, what's the point if it's not reliable!!!;0
Not Making an Account!;0
I was a customer of Any.Do for a while and on March 2020 i clearly asked them NOT to renew my subscription as i found a different company to provide me task manger services - Todoist. More than that - i even consult with Any.Do technical support team how to transfer my database to Todoist and over the phone, i ALSO remind them to cancel it. I received the cancellation notice and I DID NOT ask them to renew/continue any of Any.Do services. More than that - i also have the Invoice from the company i moved my services, Todoist, for the same period of time that Any.Do charged me for. After i tried to contact Any.Do they refused to refund me. Therefore, i let you and everybody to know that I WILL NOT USE ANY OF ANY.DO services anymore and recommend everyone that read this post DO NOT USE ANY.DO SERVICES or you taking a big risk that something like that will happen to you as well.;0
EVERY service I attempted to connect (Gmail, Gtasks, google calendar,) timed out during setup (oops error). Been 2 days and still no reply from support. Device is Samsung S9 with Android 10.;0
This app used to be great when paired with Alexa. Every once in awhile the sync would break but disabling the app and relinking the account would fix the issue. This has not been the case for the past several months. Any.do it is no longer syncing with Alexa and based on the reviews of the Alexa app it is affecting a lot of people, has been ongoing for weeks, and there doesn't appear to be a fix coming. Going to give anylist a try to see if it works with Alexa.;0
I dont know..why people appreciate this app..not user friendly...;0
Time setting is so dumb. Fix it;0
SWEETY SWEETY Kumari;0
Not working;0
No integration with created Alexa Lists.;0
You have to pay for all the decent features... There's nothing you want to do that your alarm doesn't already do;0
can't open;0
Hopeless;0
I dont understand how it works. Not very clear on how to use it. And it comstantly showed notifications for anything i made a note of;0
Do not have option to not connect to fb google or email;0
"It's testing the edge of my patience. Even though I have better internet connection it keeps saying ""couldn't find the Internet connection. Try again later"". It's my first time. I can't sign in so I can't go in to the app and plan anything. Already I tried reinstall twice.";0
the app keeps crashing whenever I click something. was going to sign in with google but it just wont work and turns out nothing's working it just keeps crashing everytime I try. I hope it gets fixed. I'm really looking forward to using this app.;0
Finally decided to uninstall after using for over a year. A simple feature such as searching the task is not available even after requesting many times. Shifting to 'to do list' app which has very useful features including task searching & customisable recurring tasks.;0
Do you have smart date tagging?? Edit, any updates....;0
Not looking for an app where I need to pay;0
You have to sign in to use;0
The app seems ok and I get the appeal of asking users to pay for a subscription, but please don't go as far as asking for a paid subscription for changing the theme. Us, mobile users asked for dark themes for everything for a long time and they should be a normal thing, not a paid privilege. I will update my rating once that nonsense is taken care of. I'm not going to pay for a dark theme. PS: you can keep the other colours chargeable, but light and dark should always be free options.;0
Worst Paid app;0
"I had uninstalled and reinstalled it but still it doesn't work. When i open app to sign in by google it doesn't respond. It tells the msg ""app stop responding""";0
Please add Shopping List widget or add a tab to quickly access the hopping list on current widgets. Otherwise, the shopping list is too many clicks to access. The only time you can see shipping lait is when opening the app and searching around for the shopping list icon. A shopping list widget would be best as it's a visual reminder TO GO SHOPPING for the item. Currently I'm adding reminders for every item to purchase instead so that it'll actually show up in my widget.;0
Is was disgusting.Routines would revert to previous if you make a change,name also changes randomly.this was Such mess i had to uninstall it.;0
This is an expensive app. That being said, it's the most low-rent experience you can imagine. For example, when you create a list item and need to edit it, you're completely out of luck because that can't happen. The best you can do is delete it and type it in (again) correctly since edit is not an option. By the way, deleting an item from your list is a multi multi step process. (update: developer noted that editing was possible (though, multiple steps required), item deletes still impossible);0
This app is malware/scam. I don't even have the app and it's charged me 38 dollars for a yearly subscription, do not buy, I'm having to now look into suing the people behind this just based on the principle of not letting them get away with this. I hope the 38 dollars was worth hundreds of dollars in court fees.;0
Premium for recurring reminders? Seriously? Are we in 1920? 🤔;0
I am not able to use application in my mobile phone.;0
Expensive app;0
"App is getting worse instead of better. Latest version replaces homescreen widget that displayed five upcoming tasks with one that only displays three in the same space. All it gains in return is a useless ""Calendar"" button. WIdget colors that followed your main app theme replaced by ugly monochrome, too. I suspect they've put someone new in charge who decided they needed to ""shake things up"" with bad new ideas. Only bright spot is their tech support has been good.";0
I can't sign in. It was working fine before but now i can't even sign in.;0
"My rating is just based on my needs. The app says it has recurring tasks, it does not. It does have recurring reminders for ""on going"" tasks which may be useful in certain applications. The result of which being if you click on a task that you do everyday it puts the next reminder on the list giving the illusion the task was left undone. The exact opposite of what a checklist should do. If you want actual individual repeating tasks or list this is not the app.";0
Bare Bones. Integrations are a lie. You have to use a third party app to make it work and Zapier is garbage. Grocery list is kind of cool. Calendar has that annoying Apple style slide that hides evens and is impossible to read instead of traditional blocks. Support button is for bug fixes only, so premium support is also a lie.;0
I'm experiencing issues with the reminder option. Whenever I set a reminder I get neither the notification or the popup which as a result makes me forget things. This issue wasn't there before. What can be done to solve this?;0
Paid for a year's subscription BUT STILL HAVE TO PAY PER MONTH AND STILL HAVE PROBLEMS ACCESSING PREMUIM FACILITIES. I love this app and its incredibly helpful when it grants me access to the premium features that I have paid for. no one answers my emails!!!! Please can someone assist me?;0
It duplicates events, often with the incorrect time, and delete events I invite other to. Very aggravating.;0
A lot of basic features locked away behind a pay wall, not very customisable imo . Not the right to-do list app for me.;0
Used to love this app. After the latest update its garbage! Can't turn off the automatic date/time thing that erases what you put in and sends it to that date or time. Will hang onto it for a bit in hopes that a new update will fix this issue. Or at least give the option to turn it off.;0
1) When i access from pc it shows different calander google account. And when i access from phone it shows different google account (i use 4 different gmail accounts) 2) also when a task is completed or deleted from the app, without touching the notification bar on phone, notification on phone stays. It has to be swiped away manually. So i have to use two actions to delete one tasks.;0
I love using this app however when I installed it to one of my phones I cannot login to it. It just keeps closing. I don't know what's wrong. Also I wish the widget would contain date and time of the tasks not just tick marks.;0
The website boasts that any.do is the best grocery list app for Android Wear. Lies. There is no way to view lists on Android Wear, only add tasks. You can view lists on Apple Watch. This is the feature I need and I guess I'll look elsewhere.;0
The update is annoying. I want to add time on the list. But you just add time tag feature which make the time that i put not being displayed.;0
For me it frequently stops syncing. I currently can't get it working again. But when it was working it was great.;0
I like it at lot, but it seems like recently, this v thing is taking out my battery, hogging memory, and using data more than chrome which I use constantly. Until someone can help me figure this out, or if this high usage of phone resources is normal, I can't rate it any higher. I might even have to remove it and search for an alternative.;0
Used to be good but now doesn't even notify me (and yes this is with the settings amended accordingly);0
"Buggy interface. The grocery list feature is fine but the schedule is terrible. It kept changing event details after I saved. I had to go back in and turn off alarms for previously saved events (that I had alarms off). And it would NOT let me create an all day event that was only scheduled one day. No matter how many times I changed the dates it kept including the day before in my ""all day"" event. And then when I would try to edit it, it would change completely to two days before. What a mess.";0
In a word: clunky. I like the calendar integration, however everything else is basic and clunky. Simply adding a task to a list takes 3 clicks and you CANNOT SET A DATE, TIME, SUBTASKS, OR NOTES UNLESS YOU EXIT OUT OF THE TASK AND GOING BACK TO YOUR LIST. The app is designed to give you as many notifications as it can and constantly advertise the premium version. And whatever you do, DO NOT SIGN UP FOR A FREE TRIAL UNLESS YOU'RE WILLING TO SPEND AN HOUR SEARCHING FOR HOW TO DO SO.;0
Not the bloody annoying calendar/task widget thing again. You did this once before. I don't want to use your calendar, just the task list so please bring back the option of a widget without the calendar option written at the top. Will use an alternative until I see AnyDo has been updated.;0
It stopped showing reminders and notifications!!!!!;0
Thought it be a great replacement for GTasks. Main issue with Tasks is lack of pc app. I like the any.do widget as it has a transparent option. I use recurring tasks a lot. A routine which can be ticked and on the next day they'll reappear, which I found seemeles in the Google app. Unfortunately in any.do you need to set a reminder for each task with exact time, they don't stack on each other, creating a long list of notifications in the morning. Also no visual event line in calendar month view.;0
"The grocery list is not syncing properly and is missing items that my wife added on her phone. This has caused issues for us where I've missed items when shopping. This is particularly bad considering the current quarantine and the fact that I have to queue up to get into the shop in the first place. I've tested and when I add the item ""snacks"" on my wife's phone they don't appear on my grocery list. I can not recommend this app currently because of this.";0
